date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:58:44	119391/119391	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Jul%202025%2016:28:47%20GMT	https://patna.dcourts.gov.in/	C:/Users/kamil/OneDrive/Desktop/patna/patna.dcourts.gov.in/index.html	(from )
21:58:44	67/67	---M--	200	added ('OK')	text/plain	date:Wed,%2016%20Jul%202025%2016:28:47%20GMT	https://patna.dcourts.gov.in/robots.txt		(from )
21:58:45	63911/63911	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Jul%202025%2016:28:48%20GMT	https://patna.dcourts.gov.in/xmlrpc.php	C:/Users/kamil/OneDrive/Desktop/patna/patna.dcourts.gov.in/xmlrpc.php	(from https://patna.dcourts.gov.in/)
21:58:46	3592/3592	---M-Z	200	added ('OK')	text/css	etag:%22e08-6386341cc1942-gzip%22	https://patna.dcourts.gov.in/wp-content/themes/sdo-theme/css/print.css	C:/Users/kamil/OneDrive/Desktop/patna/patna.dcourts.gov.in/wp-content/themes/sdo-theme/css/print.css	(from https://patna.dcourts.gov.in/)
21:58:46	116363/116363	---M-Z	200	added ('OK')	text/css	etag:%221c68b-6386341e8a997-gzip%22	https://patna.dcourts.gov.in/wp-includes/css/dist/block-library/style.min.css?ver=6.8.1	C:/Users/kamil/OneDrive/Desktop/patna/patna.dcourts.gov.in/wp-includes/css/dist/block-library/style.min0899.css	(from https://patna.dcourts.gov.in/)
21:58:46	8512/8512	---M-Z	200	added ('OK')	text/css	etag:%222140-63863419ecfc7-gzip%22	https://patna.dcourts.gov.in/wp-content/plugins/common_utility/css/extra.features.css?ver=1.1	C:/Users/kamil/OneDrive/Desktop/patna/patna.dcourts.gov.in/wp-content/plugins/common_utility/css/extra.features4963.css	(from https://patna.dcourts.gov.in/)
21:58:46	1920/1920	---M-Z	200	added ('OK')	text/css	etag:%22780-63863419ff8a6-gzip%22	https://patna.dcourts.gov.in/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.3.2	C:/Users/kamil/OneDrive/Desktop/patna/patna.dcourts.gov.in/wp-content/plugins/contact-form-7/includes/css/styles9dff.css	(from https://patna.dcourts.gov.in/)
21:58:47	10889/10889	---M-Z	200	added ('OK')	text/css	etag:%222a89-6386341a269a2-gzip%22	https://patna.dcourts.gov.in/wp-content/plugins/ecourt/css/style.css?ver=6.8.1	C:/Users/kamil/OneDrive/Desktop/patna/patna.dcourts.gov.in/wp-content/plugins/ecourt/css/style0899.css	(from https://patna.dcourts.gov.in/)
21:58:47	16264/16264	---M-Z	200	added ('OK')	text/css	etag:%223f88-6386341a269a2-gzip%22	https://patna.dcourts.gov.in/wp-content/plugins/ecourt/css/select2.min.css?ver=6.8.1	C:/Users/kamil/OneDrive/Desktop/patna/patna.dcourts.gov.in/wp-content/plugins/ecourt/css/select2.min0899.css	(from https://patna.dcourts.gov.in/)
21:58:47	4179/4179	---M-Z	200	added ('OK')	text/css	etag:%221053-6386341bd5419-gzip%22	https://patna.dcourts.gov.in/wp-content/plugins/parichay-sso//css/login.css?ver=1.1	C:/Users/kamil/OneDrive/Desktop/patna/patna.dcourts.gov.in/wp-content/plugins/parichay-sso/css/login4963.css	(from https://patna.dcourts.gov.in/)
21:58:47	268/268	---M-Z	200	added ('OK')	text/css	etag:%2210c-6386341c7a4a9-gzip%22	https://patna.dcourts.gov.in/wp-content/plugins/wordpress-social-login/assets/css/style.css?ver=6.8.1	C:/Users/kamil/OneDrive/Desktop/patna/patna.dcourts.gov.in/wp-content/plugins/wordpress-social-login/assets/css/style0899.css	(from https://patna.dcourts.gov.in/)
21:58:48	485626/485626	---MCZ	200	added ('OK')	text/css	etag:%22768fa-6386341cc09a3-gzip%22	https://patna.dcourts.gov.in/wp-content/themes/sdo-theme/css/base.css?ver=6.8.1	C:/Users/kamil/OneDrive/Desktop/patna/patna.dcourts.gov.in/wp-content/themes/sdo-theme/css/base0899.css	(from https://patna.dcourts.gov.in/)
21:58:48	13081/13081	---M-Z	200	added ('OK')	text/css	etag:%223319-6386341cc28e2-gzip%22	https://patna.dcourts.gov.in/wp-content/themes/sdo-theme/css/addons/sliderhelper.css?ver=6.8.1	C:/Users/kamil/OneDrive/Desktop/patna/patna.dcourts.gov.in/wp-content/themes/sdo-theme/css/addons/sliderhelper0899.css	(from https://patna.dcourts.gov.in/)
21:58:48	11504/11504	---M-Z	200	added ('OK')	text/css	etag:%222cf0-6386341cbfa03-gzip%22	https://patna.dcourts.gov.in/wp-content/themes/sdo-theme/style.css?ver=6.8.1	C:/Users/kamil/OneDrive/Desktop/patna/patna.dcourts.gov.in/wp-content/themes/sdo-theme/style0899.css	(from https://patna.dcourts.gov.in/)
21:58:48	36032/36032	---M-Z	200	added ('OK')	text/css	etag:%228cc0-63863419bf16c-gzip%22	https://patna.dcourts.gov.in/wp-content/plugins/awaas-metaboxes/css/jquery.ui.datepicker.css?ver=1.0	C:/Users/kamil/OneDrive/Desktop/patna/patna.dcourts.gov.in/wp-content/plugins/awaas-metaboxes/css/jquery.ui.datepicker5152.css	(from https://patna.dcourts.gov.in/)
21:58:48	485416/485416	---M-Z	200	added ('OK')	text/css	etag:%2276828-6386341a2f641-gzip%22	https://patna.dcourts.gov.in/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=6.5.0	C:/Users/kamil/OneDrive/Desktop/patna/patna.dcourts.gov.in/wp-content/plugins/js_composer/assets/css/js_composer.mine6df.css	(from https://patna.dcourts.gov.in/)
21:58:49	37414/37414	---M-Z	200	added ('OK')	text/css	etag:%229226-63863419b64cd-gzip%22	https://patna.dcourts.gov.in/wp-content/plugins/awaas-accessibility/css/font-awsome.css?ver=6.8.1	C:/Users/kamil/OneDrive/Desktop/patna/patna.dcourts.gov.in/wp-content/plugins/awaas-accessibility/css/font-awsome0899.css	(from https://patna.dcourts.gov.in/)
21:58:49	87439/87439	---M-Z	200	added ('OK')	application/javascript	etag:%221558f-6386341d1d5fa-gzip%22	https://patna.dcourts.gov.in/wp-content/themes/sdo-theme/js/jquery.min.js?ver=3.6.4	C:/Users/kamil/OneDrive/Desktop/patna/patna.dcourts.gov.in/wp-content/themes/sdo-theme/js/jquery.min5aed.js	(from https://patna.dcourts.gov.in/)
21:58:49	13609/13609	---M-Z	200	added ('OK')	application/javascript	etag:%223529-6386341d1d5fa-gzip%22	https://patna.dcourts.gov.in/wp-content/themes/sdo-theme/js/jquery-migrate.min.js?ver=3.4.1	C:/Users/kamil/OneDrive/Desktop/patna/patna.dcourts.gov.in/wp-content/themes/sdo-theme/js/jquery-migrate.min5589.js	(from https://patna.dcourts.gov.in/)
21:58:49	9821/9821	---M-Z	200	added ('OK')	application/javascript	etag:%22265d-63863419bd22c-gzip%22	https://patna.dcourts.gov.in/wp-content/plugins/awaas-accessibility/js/external.js?ver=6.8.1	C:/Users/kamil/OneDrive/Desktop/patna/patna.dcourts.gov.in/wp-content/plugins/awaas-accessibility/js/external0899.js	(from https://patna.dcourts.gov.in/)
21:58:50	108/108	---M--	401	error ('Unauthorized')	application/json	date:Wed,%2016%20Jul%202025%2016:28:53%20GMT	https://patna.dcourts.gov.in/wp-json/wp/v2/pages/5145	C:/Users/kamil/OneDrive/Desktop/patna/patna.dcourts.gov.in/wp-json/wp/v2/pages/5145	(from https://patna.dcourts.gov.in/)
21:58:50	108/108	---M--	401	error ('Unauthorized')	application/json	date:Wed,%2016%20Jul%202025%2016:28:53%20GMT	https://patna.dcourts.gov.in/wp-json/	C:/Users/kamil/OneDrive/Desktop/patna/patna.dcourts.gov.in/wp-json/index.html	(from https://patna.dcourts.gov.in/)
21:58:51	63911/63911	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Jul%202025%2016:28:53%20GMT	https://patna.dcourts.gov.in/xmlrpc.php?rsd	C:/Users/kamil/OneDrive/Desktop/patna/patna.dcourts.gov.in/xmlrpc0db0.php	(from https://patna.dcourts.gov.in/)
21:58:51	108/108	---M--	401	error ('Unauthorized')	application/json	date:Wed,%2016%20Jul%202025%2016:28:54%20GMT	https://patna.dcourts.gov.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fpatna.dcourts.gov.in%2F	C:/Users/kamil/OneDrive/Desktop/patna/patna.dcourts.gov.in/wp-json/oembed/1.0/embed18a5	(from https://patna.dcourts.gov.in/)
21:58:51	167/167	---M--	401	error ('Unauthorized')	text/xml	date:Wed,%2016%20Jul%202025%2016:28:54%20GMT	https://patna.dcourts.gov.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fpatna.dcourts.gov.in%2F&format=xml	C:/Users/kamil/OneDrive/Desktop/patna/patna.dcourts.gov.in/wp-json/oembed/1.0/embed963f	(from https://patna.dcourts.gov.in/)
21:58:52	5855/5855	---M--	200	added ('OK')	image/png	etag:%22da2424583dd4bf183c07d0ec8204081e%22	https://cdnbbsr.s3waas.gov.in/s3ec05a18630ab1c3b9f14454cf70dc711/uploads/2021/03/2021031871.png?id=5177	C:/Users/kamil/OneDrive/Desktop/patna/cdnbbsr.s3waas.gov.in/s3ec05a18630ab1c3b9f14454cf70dc711/uploads/2021/03/20210318714a08.png	(from https://patna.dcourts.gov.in/)
21:58:52	530/530	---M--	200	added ('OK')	image/svg+xml	etag:%22212-6386341cef79e%22	https://patna.dcourts.gov.in/wp-content/themes/sdo-theme/images/search_icon.svg	C:/Users/kamil/OneDrive/Desktop/patna/patna.dcourts.gov.in/wp-content/themes/sdo-theme/images/search_icon.svg	(from https://patna.dcourts.gov.in/)
21:58:52	3567/3567	---M--	200	added ('OK')	image/svg+xml	etag:%22def-6386341cef79e%22	https://patna.dcourts.gov.in/wp-content/themes/sdo-theme/images/social_media.svg	C:/Users/kamil/OneDrive/Desktop/patna/patna.dcourts.gov.in/wp-content/themes/sdo-theme/images/social_media.svg	(from https://patna.dcourts.gov.in/)
21:58:53	514/514	---M--	200	added ('OK')	image/svg+xml	etag:%22202-6386341cf361e%22	https://patna.dcourts.gov.in/wp-content/themes/sdo-theme/images/youtube_icon.svg	C:/Users/kamil/OneDrive/Desktop/patna/patna.dcourts.gov.in/wp-content/themes/sdo-theme/images/youtube_icon.svg	(from https://patna.dcourts.gov.in/)
21:58:53	702/702	---M--	200	added ('OK')	image/svg+xml	etag:%222be-6386341cef79e%22	https://patna.dcourts.gov.in/wp-content/themes/sdo-theme/images/sitemap_icon.svg	C:/Users/kamil/OneDrive/Desktop/patna/patna.dcourts.gov.in/wp-content/themes/sdo-theme/images/sitemap_icon.svg	(from https://patna.dcourts.gov.in/)
21:58:53	565/565	---M--	200	added ('OK')	image/svg+xml	etag:%22235-6386341ce1cdf%22	https://patna.dcourts.gov.in/wp-content/themes/sdo-theme/images/accessibility_icon.svg	C:/Users/kamil/OneDrive/Desktop/patna/patna.dcourts.gov.in/wp-content/themes/sdo-theme/images/accessibility_icon.svg	(from https://patna.dcourts.gov.in/)
